image_id,image_path
AMLC000006,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000006.jpg
AMLC000008,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000008.jpg
AMLC000009,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000009.jpg
AMLC000010,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000010.jpg
AMLC000012,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000012.jpg
AMLC000019,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000019.jpg
AMLC000022,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000022.jpg
AMLC000031,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000031.jpg
AMLC000055,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000055.jpg
AMLC000060,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000060.jpg
AMLC000062,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000062.jpg
AMLC000063,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000063.jpg
AMLC000065,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000065.jpg
AMLC000067,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000067.jpg
AMLC000068,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000068.jpg
AMLC000071,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000071.jpg
AMLC000072,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000072.jpg
AMLC000076,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000076.jpg
AMLC000080,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000080.jpg
AMLC000081,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000081.jpg
AMLC000082,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000082.jpg
AMLC000097,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000097.jpg
AMLC000101,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000101.jpg
AMLC000103,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000103.jpg
AMLC000108,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000108.jpg
AMLC000109,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000109.jpg
AMLC000115,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000115.jpg
AMLC000120,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000120.jpg
AMLC000121,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000121.jpg
AMLC000124,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000124.jpg
AMLC000125,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000125.jpg
AMLC000129,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000129.jpg
AMLC000130,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000130.jpg
AMLC000132,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000132.jpg
AMLC000144,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000144.jpg
AMLC000145,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000145.jpg
AMLC000147,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000147.jpg
AMLC000150,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000150.jpg
AMLC000151,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000151.jpg
AMLC000152,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000152.jpg
AMLC000155,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000155.jpg
AMLC000157,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000157.jpg
AMLC000160,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000160.jpg
AMLC000161,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000161.jpg
AMLC000164,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000164.jpg
AMLC000177,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000177.jpg
AMLC000180,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000180.jpg
AMLC000181,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000181.jpg
