image_id,image_path
AMLC000001,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000001.jpg
AMLC000002,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000002.jpg
AMLC000004,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000004.jpg
AMLC000014,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000014.jpg
AMLC000016,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000016.jpg
AMLC000017,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000017.jpg
AMLC000021,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000021.jpg
AMLC000024,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000024.jpg
AMLC000025,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000025.jpg
AMLC000027,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000027.jpg
AMLC000032,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000032.jpg
AMLC000033,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000033.jpg
AMLC000037,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000037.jpg
AMLC000038,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000038.jpg
AMLC000044,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000044.jpg
AMLC000046,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000046.jpg
AMLC000047,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000047.png
AMLC000049,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000049.jpg
AMLC000051,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000051.jpg
AMLC000057,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000057.jpg
AMLC000058,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000058.jpg
AMLC000066,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000066.jpg
AMLC000073,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000073.jpg
AMLC000089,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000089.jpg
AMLC000091,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000091.jpg
AMLC000095,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000095.jpg
AMLC000096,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000096.jpg
AMLC000098,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000098.jpg
AMLC000100,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000100.jpg
AMLC000105,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000105.jpg
AMLC000111,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000111.jpg
AMLC000113,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000113.jpg
AMLC000116,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000116.jpg
AMLC000117,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000117.jpg
AMLC000126,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000126.jpg
AMLC000127,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000127.jpg
AMLC000134,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000134.jpg
AMLC000136,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000136.jpg
AMLC000139,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000139.jpg
AMLC000154,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000154.jpg
AMLC000159,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000159.jpg
