image_id,image_path
AMLC000013,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000013.jpg
AMLC000015,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000015.jpg
AMLC000018,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000018.jpg
AMLC000020,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000020.jpg
AMLC000023,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000023.jpg
AMLC000030,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000030.jpg
AMLC000034,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000034.jpg
AMLC000036,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000036.jpg
AMLC000041,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000041.jpg
AMLC000045,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000045.jpg
AMLC000048,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000048.jpg
AMLC000050,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000050.jpg
AMLC000053,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000053.png
AMLC000054,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000054.jpg
AMLC000056,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000056.jpg
AMLC000069,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000069.jpg
AMLC000070,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000070.jpg
AMLC000077,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000077.jpg
AMLC000078,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000078.jpg
AMLC000079,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000079.jpg
AMLC000085,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000085.jpg
AMLC000086,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000086.jpg
AMLC000087,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000087.jpg
AMLC000088,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000088.jpg
AMLC000090,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000090.jpg
AMLC000104,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000104.jpg
AMLC000114,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000114.jpg
AMLC000131,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000131.jpg
AMLC000133,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000133.jpg
AMLC000135,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000135.jpg
